"","V1","V2","V3","V4","V5","V6","V7"
"30",464982.794459,-0.0405,-0.0275,-0.0058,0.8158,-0.095,-0.2626
"332",464982.82461,-0.0588,-0.0612,-0.175,-0.2082,0.0661,0.025
"119",464982.854762,-0.0705,0.0235,-0.2153,-0.0177,0.0984,0.1752
"171",464982.884944,-0.0999,0.1096,-0.1286,-0.001,0.3631,0.3494
"138",464982.915095,-0.0759,0.0265,-0.1352,-0.6988,0.2493,0.4578
"15",464982.945246,-0.1392,0.2399,-0.0906,-0.5297,0.3324,0.3678
"198",464982.975428,-0.175,0.2278,0.1634,-1.2363,0.4228,0.2755
"123",464983.00558,-0.0183,0.3278,-0.069,-1.2272,0.1149,-0.0134
"96",464983.035761,-0.1102,-0.2262,0.017,-0.7051,-0.073,0.0939
"162",464983.065913,-0.1882,-0.0804,0.1255,0.424,-0.3006,0.2734
"124",464983.096064,-0.2891,0.0959,0.0745,0.9138,-0.4196,0.3159
"334",464983.126246,-0.2727,0.2054,0.022,1.1751,-0.5649,0.2969
"208",464983.156397,-0.2212,0.1652,-0.0592,1.2676,-0.4041,-0.0333
"326",464983.186549,-0.0981,0.2389,0.0058,1.0477,-0.3078,-0.2243
"182",464983.216731,-0.1007,0.0793,-0.0392,1.0873,-0.2175,-0.1872
"306",464983.246882,-0.1151,0.0695,-0.0234,0.7615,-0.0926,-0.2669
"307",464983.277064,-0.1998,-0.0334,0.0284,0.4188,-0.0993,-0.1295
"221",464983.307215,-0.146,0.2187,0.0011,0.6364,-0.1896,0.2905
"142",464983.337367,-0.2722,-0.0308,-0.1803,0.5969,-0.0017,0.5026
"181",464983.367547,-0.0844,0.2327,-0.0979,0.6756,-0.004,0.7978
"363",464983.397698,-0.2911,0.0418,-0.0629,0.5352,0.0027,0.8555
"26",464983.427849,-0.3874,0.0982,-0.0484,0.3865,0.18,0.9668
"212",464983.458031,-0.1841,0.5077,-0.224,0.3738,0.0473,0.846
"248",464983.488182,-0.4023,-0.1515,-0.1418,0.2113,0.0624,0.6148
"101",464983.518364,0.0577,0.1636,-0.3189,0.0922,-0.1248,0.4218
"175",464983.548516,-0.3409,0.1185,-0.3695,0.5202,-0.0551,0.3994
"335",464983.578667,-0.2053,-0.0888,-0.2256,0.343,-0.1269,0.5537
"166",464983.608849,-0.3156,-0.1079,-0.3894,0.5772,0.0049,0.6448
"353",464983.639,0.0598,-0.2728,-0.2268,0.6393,-0.1735,0.4468
"201",464983.669152,-0.0423,-0.1492,-0.1973,0.4733,-0.3822,0.6386
"373",464983.699334,-0.0657,3e-04,0.0692,0.7232,-0.1087,0.441
"69",464983.729485,0.3368,-0.2282,0.3322,0.3643,-0.2519,0.3785
"266",464983.759636,0.1039,0.1083,0.3296,-0.2882,-0.0057,-0.0548
"132",464983.789818,0.2218,-0.0354,0.3514,-0.1327,0.2488,-0.3778
"279",464983.81997,0.0214,-0.0286,0.128,-0.3622,0.0789,-0.5302
"59",464983.850151,-0.2954,0.2683,-0.2699,-0.2354,0.1154,-0.3212
"118",464983.880303,0.0688,-0.1785,-0.0489,-0.424,-0.3315,-0.605
"44",464983.910454,-0.0533,-0.0607,0.0787,-0.5888,-0.9941,-0.2572
"19",464983.940636,5e-04,-0.2812,0.1176,-1.3506,-1.7427,-0.3665
"71",464983.970787,0.0287,-0.0767,-0.1072,-1.2993,-1.257,-0.5328
"87",464984.000939,0.0261,-0.0757,0.0352,-1.1036,-0.5552,-0.6846
"294",464984.031121,-0.3246,-0.0596,-0.3762,-0.3515,-0.6946,-0.1606
"327",464984.061272,0.2947,0.0012,-0.3501,0.3615,-0.5749,-0.2112
"133",464984.091454,0.0889,-0.2854,-0.0186,0.5906,0.2169,-0.2638
"144",464984.121605,0.4471,-0.0112,0.3603,0.1484,0.3422,0.1762
"366",464984.151757,0.3491,0.1838,0.0927,0.0163,0.5311,0.1304
"105",464984.181939,-0.5096,-0.212,-0.0621,-1.1105,-0.9757,-0.2417
"191",464984.21209,-0.2782,-0.1931,0.0401,1.3226,0.8814,0.4844
"136",464984.242241,0.5191,0.1245,0.3205,-1.1946,-0.2217,-0.1645
"102",464984.272423,-0.1399,-0.3177,0.1943,0.1609,0.3413,-0.519
"35",464984.302575,-0.0881,0.3355,-0.2316,-0.3176,-0.53,0.1199
"314",464984.332756,0.2391,-0.1777,-0.1744,-0.0772,-0.3748,0.0572
